;Indivíduo;Resultado;Gerações
10;[0.30265882352941176, 130.58823529411765, 0.0, 3.0, 1.0, 0.0, 1.0, 1.0, 0.0, 175.29411764705884, 0.0, 0.0, 0.4196078431372549, 0.0, 144.94117647058823, 2.5806451612903225, 0.7206349206349206, 1.0, 3.0, 0.0, 0.1411764705882353, 15.184313725490195, 7.686274509803922, 0.14203529411764704, 0.06627788235294117, 0.09372611764705882, 0.09803941176470589, 0.5205190615835776, 0.7753958944281525, 1.0, 1.0, 1.0, 0.8666666666666667, 0.019047619047619046, 0.0, 155787.5457875458, 0.0, 6.891495601173021, 18.1524926686217, 2.0, 0.0, 2.0, 1.0, 3.4285714285714284, 3.0, 3.0, 3.4285714285714284, 2.0, 2.0, 2.8571428571428568, 0.0, 1.0, 0.5714285714285714, 1.0, 2.0, 0.0, 2.0, 1.0, 1.7142857142857142, 2.0, 0.0, 1.1428571428571428, 2.0, 0.0, 3.4285714285714284, 4.0, 0.0, 1.0, 2.8571428571428568, 1.0, 2.0, 4.0, 2.0, 1.0];1000000,0;-1
11;[0.1381176470588235, 93.52941176470588, 1.0, 1.0, 3.0, 1.0, 0.001, 1.0, 1.0, 119.52941176470588, 1.0, 1.0, 0.7450980392156863, 1.0, 88.35294117647058, 5.67741935483871, 0.39853479853479856, 1.0, 1.0, 1.0, 0.9372549019607843, 5.772549019607843, 1.2941176470588236, 0.9882470588235294, 0.027850352941176472, 0.086668, 0.0482404705882353, 0.1162316715542522, 0.015648093841642226, 1.0, 0.0, 1.0, 0.6253968253968254, 0.10476190476190475, 0.0, 95604.3956043956, 1.0, 11.131964809384165, 12.469208211143696, 2.0, 3.4285714285714284, 2.0, 2.0, 2.8571428571428568, 2.0, 1.0, 1.7142857142857142, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 3.0, 2.0, 2.2857142857142856, 2.0, 3.0, 3.4285714285714284, 3.0, 3.0, 0.0, 1.0, 0.0, 0.5714285714285714, 2.2857142857142856, 0.0, 3.0, 0.0, 3.0, 3.0, 1.7142857142857142, 0.0, 3.0];273356,0570239864;-1
12;[0.016670588235294118, 72.94117647058823, 1.0, 0.0, 2.0, 1.0, 0.334, 0.0, 0.0, 39.76470588235294, 1.0, 1.0, 0.3058823529411765, 1.0, 62.35294117647059, 11.35483870967742, 0.35946275946275946, 1.0, 3.0, 0.0, 0.30980392156862746, 3.011764705882353, 1.0588235294117647, 0.9608235294117646, 0.07451235294117647, 0.08078623529411764, 0.003539058823529412, 0.5537214076246334, 0.2715014662756598, 1.0, 0.0, 0.0, 0.873015873015873, 0.13333333333333333, 0.0, 75531.13553113553, 0.0, 17.008797653958943, 19.348973607038126, 3.0, 2.8571428571428568, 0.0, 1.0, 1.7142857142857142, 2.0, 3.0, 1.1428571428571428, 3.0, 3.0, 1.1428571428571428, 1.0, 1.0, 2.2857142857142856, 0.0, 1.0, 0.0, 1.0, 3.0, 0.5714285714285714, 1.0, 1.0, 1.1428571428571428, 0.0, 0.0, 0.5714285714285714, 0.0, 2.0, 1.0, 3.4285714285714284, 1.0, 0.0, 0.5714285714285714, 3.0, 3.0];267714,53145236603;-1
13;[0.3065764705882353, 199.41176470588235, 0.0, 3.0, 1.0, 1.0, 0.334, 1.0, 1.0, 106.82352941176471, 1.0, 0.0, 0.9803921568627451, 1.0, 146.47058823529412, 13.419354838709676, 0.5848595848595849, 0.0, 2.0, 1.0, 0.6196078431372549, 10.101960784313725, 4.509803921568627, 0.3065764705882353, 0.086668, 0.00785235294117647, 0.06667000000000001, 0.19142521994134898, 0.1875190615835777, 1.0, 0.0, 1.0, 0.7904761904761904, 0.15714285714285714, 1.0, 166227.10622710624, 1.0, 15.777126099706747, 3.1085043988269794, 3.0, 0.0, 2.0, 1.0, 0.0, 1.0, 3.0, 2.2857142857142856, 2.0, 1.0, 0.0, 1.0, 3.0, 0.5714285714285714, 2.0, 1.0, 2.8571428571428568, 1.0, 0.0, 0.5714285714285714, 3.0, 0.0, 1.7142857142857142, 1.0, 0.0, 2.2857142857142856, 1.1428571428571428, 0.0, 2.0, 1.1428571428571428, 1.0, 1.0, 0.5714285714285714, 0.0, 2.0];286239,0911669166;-1
14;[0.2282235294117647, 172.94117647058823, 1.0, 1.0, 1.0, 1.0, 0.334, 0.0, 0.0, 120.94117647058825, 0.0, 1.0, 0.3529411764705882, 1.0, 192.35294117647058, 4.64516129032258, 0.8534798534798534, 1.0, 3.0, 0.0, 0.06274509803921569, 13.741176470588234, 2.8235294117647056, 0.6474117647058824, 0.09529458823529412, 0.04471141176470589, 0.062356705882352946, 0.4209120234604105, 0.1738475073313783, 0.0, 0.0, 0.0, 0.9809523809523809, 0.16190476190476188, 1.0, 151684.98168498167, 1.0, 18.099706744868037, 7.401759530791789, 3.0, 2.2857142857142856, 3.0, 1.0, 4.0, 3.0, 1.0, 2.2857142857142856, 0.0, 3.0, 2.8571428571428568, 2.0, 2.0, 2.2857142857142856, 1.0, 3.0, 4.0, 3.0, 3.0, 1.7142857142857142, 0.0, 0.0, 2.8571428571428568, 3.0, 3.0, 2.8571428571428568, 0.5714285714285714, 3.0, 0.0, 4.0, 0.0, 3.0, 2.8571428571428568, 2.0, 1.0];286168,7033763504;-1
15;[0.48678823529411763, 98.23529411764706, 0.0, 3.0, 3.0, 1.0, 1.0, 0.0, 1.0, 120.23529411764707, 1.0, 0.0, 0.5294117647058824, 1.0, 128.11764705882354, 3.096774193548387, 0.9501831501831501, 0.0, 2.0, 0.0, 0.5294117647058824, 7.152941176470588, 4.862745098039215, 0.6356588235294117, 0.05608282352941177, 0.020400117647058826, 0.035692705882352946, 0.9169941348973607, 0.10646627565982404, 0.0, 1.0, 1.0, 0.9492063492063492, 0.3, 1.0, 180146.52014652014, 1.0, 12.011730205278594, 7.524926686217009, 1.0, 2.2857142857142856, 2.0, 2.0, 0.5714285714285714, 1.0, 1.0, 1.7142857142857142, 2.0, 3.0, 2.2857142857142856, 3.0, 1.0, 4.0, 2.0, 2.0, 2.8571428571428568, 1.0, 0.0, 2.8571428571428568, 1.0, 2.0, 1.1428571428571428, 1.0, 2.0, 3.4285714285714284, 1.1428571428571428, 1.0, 0.0, 4.0, 1.0, 3.0, 1.1428571428571428, 0.0, 2.0];285851,93332017824;-1
16;[0.31832941176470586, 161.1764705882353, 0.0, 1.0, 2.0, 0.0, 0.334, 1.0, 0.0, 140.7058823529412, 1.0, 1.0, 0.4392156862745098, 1.0, 186.23529411764704, 9.29032258064516, 0.6722832722832723, 0.0, 3.0, 1.0, 0.5058823529411764, 12.611764705882353, 4.705882352941177, 0.5377176470588235, 0.018047411764705885, 0.046279882352941185, 0.09568670588235294, 0.1933782991202346, 0.5400498533724339, 1.0, 1.0, 1.0, 0.7523809523809524, 0.028571428571428567, 1.0, 191575.09157509156, 1.0, 15.495601173020528, 10.269794721407626, 2.0, 2.8571428571428568, 1.0, 0.0, 2.2857142857142856, 2.0, 1.0, 0.5714285714285714, 1.0, 3.0, 1.1428571428571428, 2.0, 2.0, 4.0, 0.0, 1.0, 2.8571428571428568, 0.0, 3.0, 4.0, 0.0, 0.0, 2.8571428571428568, 1.0, 3.0, 4.0, 4.0, 0.0, 0.0, 4.0, 2.0, 1.0, 1.1428571428571428, 2.0, 2.0];286954,63274643867;-1
17;[0.5337999999999999, 83.52941176470588, 1.0, 3.0, 3.0, 0.0, 0.001, 0.0, 0.0, 106.11764705882354, 1.0, 0.0, 0.5725490196078431, 0.0, 21.058823529411764, 7.741935483870968, 0.40341880341880343, 1.0, 1.0, 0.0, 0.27058823529411763, 5.772549019607843, 3.372549019607843, 0.5455529411764706, 0.09568670588235294, 0.05529858823529413, 0.021576470588235294, 0.143574780058651, 0.93066568914956, 0.0, 1.0, 0.0, 0.746031746031746, 0.16666666666666666, 0.0, 189743.58974358975, 1.0, 15.86510263929619, 9.900293255131967, 0.0, 1.7142857142857142, 1.0, 2.0, 0.0, 2.0, 3.0, 3.4285714285714284, 1.0, 2.0, 4.0, 1.0, 2.0, 2.2857142857142856, 1.0, 2.0, 2.8571428571428568, 3.0, 3.0, 1.7142857142857142, 2.0, 1.0, 0.0, 0.0, 2.0, 1.1428571428571428, 0.5714285714285714, 1.0, 0.0, 1.7142857142857142, 3.0, 1.0, 2.2857142857142856, 2.0, 3.0];1000000,0;-1
18;[0.6591647058823529, 188.82352941176472, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 33.411764705882355, 0.0, 0.0, 0.7019607843137254, 1.0, 124.29411764705881, 7.225806451612903, 0.852014652014652, 1.0, 1.0, 1.0, 0.33725490196078434, 13.113725490196078, 9.607843137254902, 0.2164705882352941, 0.09215764705882352, 0.0917655294117647, 0.09960788235294118, 0.4755982404692082, 0.1679882697947214, 1.0, 1.0, 0.0, 0.638095238095238, 0.0619047619047619, 1.0, 168278.38827838827, 0.0, 19.03225806451613, 5.272727272727273, 3.0, 0.5714285714285714, 3.0, 1.0, 4.0, 2.0, 0.0, 1.7142857142857142, 3.0, 1.0, 2.8571428571428568, 3.0, 2.0, 1.1428571428571428, 0.0, 3.0, 3.4285714285714284, 1.0, 2.0, 3.4285714285714284, 0.0, 1.0, 2.8571428571428568, 3.0, 2.0, 2.2857142857142856, 4.0, 3.0, 3.0, 2.2857142857142856, 0.0, 2.0, 3.4285714285714284, 1.0, 0.0];286467,7411641322;-1
19;[0.9725764705882353, 173.52941176470588, 0.0, 0.0, 0.0, 0.0, 0.001, 1.0, 1.0, 187.29411764705884, 0.0, 1.0, 0.2901960784313725, 1.0, 94.47058823529412, 5.161290322580645, 0.5987789987789988, 1.0, 2.0, 0.0, 0.24705882352941178, 7.466666666666667, 1.0196078431372548, 0.7531882352941176, 0.019223764705882353, 0.05529858823529413, 0.052161647058823535, 0.7529354838709678, 0.7080146627565982, 1.0, 0.0, 1.0, 0.6761904761904762, 0.023809523809523808, 1.0, 99487.17948717948, 0.0, 14.668621700879767, 13.472140762463344, 1.0, 0.5714285714285714, 3.0, 2.0, 4.0, 3.0, 2.0, 1.1428571428571428, 3.0, 1.0, 2.2857142857142856, 1.0, 0.0, 0.0, 2.0, 1.0, 1.1428571428571428, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 1.0, 3.4285714285714284, 2.2857142857142856, 1.0, 0.0, 4.0, 3.0, 1.0, 1.7142857142857142, 3.0, 3.0];287436,3930467863;-1
